Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-56.6,-89.3,180,bottom
C3,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-65.7,-98.8,180,bottom
C5,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-76.4,-89.7,90,bottom
C6,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-68.9,-79,90,bottom
C7,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-61.2,-82.8,-45,bottom
C8,4.7u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-58.5,-84.3,45,bottom
D_0,D,D_SOD-123,-65.5,-77.6,90,bottom
D_1,D,D_SOD-123,-84.8,-81.425,90,bottom
D_2,D,D_SOD-123,-103.85,-81.425,90,bottom
D_3,D,D_SOD-123,-122.9,-81.425,90,bottom
D_4,D,D_SOD-123,-141.95,-81.425,90,bottom
D_5,D,D_SOD-123,-161,-81.425,90,bottom
D_6,D,D_SOD-123,-180.05,-81.425,90,bottom
D_7,D,D_SOD-123,-199.1,-81.425,90,bottom
D_8,D,D_SOD-123,-218.15,-81.425,90,bottom
D_9,D,D_SOD-123,-237.2,-81.425,90,bottom
D_10,D,D_SOD-123,-256.25,-81.425,90,bottom
D_11,D,D_SOD-123,-275.3,-81.425,90,bottom
D_12,D,D_SOD-123,-65.5,-104.7,90,bottom
D_13,D,D_SOD-123,-84.8,-100.475,90,bottom
D_14,D,D_SOD-123,-103.85,-100.475,90,bottom
D_15,D,D_SOD-123,-122.9,-100.475,90,bottom
D_16,D,D_SOD-123,-141.95,-100.475,90,bottom
D_17,D,D_SOD-123,-161,-100.475,90,bottom
D_18,D,D_SOD-123,-180.05,-100.475,90,bottom
D_19,D,D_SOD-123,-199.1,-100.475,90,bottom
D_20,D,D_SOD-123,-218.15,-100.475,90,bottom
D_21,D,D_SOD-123,-237.2,-100.475,90,bottom
D_22,D,D_SOD-123,-256.25,-100.475,90,bottom
D_23,D,D_SOD-123,-275.3,-100.475,90,bottom
D_24,D,D_SOD-123,-65.75,-119.525,90,bottom
D_25,D,D_SOD-123,-84.8,-119.525,90,bottom
D_26,D,D_SOD-123,-103.85,-119.525,90,bottom
D_27,D,D_SOD-123,-122.9,-119.525,90,bottom
D_28,D,D_SOD-123,-141.95,-119.525,90,bottom
D_29,D,D_SOD-123,-161,-119.525,90,bottom
D_30,D,D_SOD-123,-180.05,-119.525,90,bottom
D_31,D,D_SOD-123,-199.1,-119.525,90,bottom
D_32,D,D_SOD-123,-218.15,-119.525,90,bottom
D_33,D,D_SOD-123,-237.2,-119.525,90,bottom
D_34,D,D_SOD-123,-256.25,-119.525,90,bottom
D_35,D,D_SOD-123,-275.3,-119.525,90,bottom
D_36,D,D_SOD-123,-65.75,-138.575,90,bottom
D_37,D,D_SOD-123,-84.8,-138.575,90,bottom
D_38,D,D_SOD-123,-103.85,-138.575,90,bottom
D_39,D,D_SOD-123,-122.9,-138.575,90,bottom
D_40,D,D_SOD-123,-141.95,-138.575,90,bottom
D_41,D,D_SOD-123,-161,-138.575,90,bottom
D_42,D,D_SOD-123,-180.05,-138.575,90,bottom
D_43,D,D_SOD-123,-199.1,-138.575,90,bottom
D_44,D,D_SOD-123,-218.15,-138.575,90,bottom
D_45,D,D_SOD-123,-237.2,-138.575,90,bottom
D_46,D,D_SOD-123,-256.25,-138.575,90,bottom
D_47,D,D_SOD-123,-275.3,-138.575,90,bottom
D_48,D,D_SOD-123,-65.75,-157.625,90,bottom
D_49,D,D_SOD-123,-84.8,-157.625,90,bottom
D_50,D,D_SOD-123,-103.85,-157.625,90,bottom
D_51,D,D_SOD-123,-122.9,-157.625,90,bottom
D_52,D,D_SOD-123,-161,-157.625,90,bottom
D_53,D,D_SOD-123,-180.05,-157.625,90,bottom
D_54,D,D_SOD-123,-199.1,-157.625,90,bottom
D_55,D,D_SOD-123,-218.15,-157.625,90,bottom
D_56,D,D_SOD-123,-237.2,-157.625,90,bottom
D_57,D,D_SOD-123,-256.25,-157.625,90,bottom
D_58,D,D_SOD-123,-275.3,-157.625,90,bottom
J1,USB_mini_micro_B,USB_Micro-B_Amphenol_10118194_Horizontal,-66.7,-68.7,0,bottom
R1,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-82.875,-72.6,0,bottom
R2,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-62.8,-74.2,0,bottom
R3,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-62.8,-72.3,0,bottom
R4,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-68.5,-102,90,bottom
R5,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-82.5,-68.475001,180,bottom
R6,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-104.75,-68.5,180,bottom
U1,ATMEGA32U4,QFP44,-67,-89.3,-45,bottom
